"",""
"Action","Action"
"Add Greeting Card","Add Greeting Card"
"An error occurred while updating the greeting cards.","An error occurred while updating the greeting cards."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find greeting card to delete.","Could not find greeting card to delete."
"Created at","Created at"
"Customer Email","Customer Email"
"Delete Greeting Card","Delete Greeting Card"
"Delete","Delete"
"Disabled","Disabled"
"Edit Greeting Card '%s'","Edit Greeting Card '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving greeting card","Error saving greeting card"
"Excel","Excel"
"Greeting Card was saved","Greeting Card was saved"
"Greeting Card was successfully deleted.","Greeting Card was successfully deleted."
"Greeting Card was successfully saved","Greeting Card was successfully saved"
"Greeting Card","Greeting Card"
"Greeting Cards","Greeting Cards"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select greeting cards to delete.","Please select greeting cards to delete."
"Please select greeting cards.","Please select greeting cards."
"Reason","Reason"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Greeting Card","Save Greeting Card"
"Status","Status"
"Store views","Store views"
"The greeting cards has been deleted.","The greeting cards has been deleted."
"There was a problem saving the greeting card.","There was a problem saving the greeting card."
"There was an error deleting greeting card.","There was an error deleting greeting card."
"There was an error deleting greeting cards.","There was an error deleting greeting cards."
"There was an error updating greeting cards.","There was an error updating greeting cards."
"This greeting card no longer exists.","This greeting card no longer exists."
"Total of %d greeting cards were successfully deleted.","Total of %d greeting cards were successfully deleted."
"Total of %d greeting cards were successfully updated.","Total of %d greeting cards were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find greeting card to save.","Unable to find greeting card to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"